AX,AY,AZ,GX,GY,GZ,Type
-2.9,-6.08,-6.9,0.0,0.01,-0.01,4.0
-4.02,-5.19,-7.09,0.0,0.01,-0.01,4.0
-4.4,-4.68,-7.21,0.0,0.02,-0.01,4.0
-4.37,-4.65,-7.25,-0.01,0.01,0.0,4.0
-4.38,-4.64,-7.2,0.01,0.01,-0.02,4.0
-4.93,-4.15,-7.21,0.0,0.01,-0.01,4.0
-4.95,-4.16,-7.19,0.0,0.01,-0.01,4.0
-4.94,-4.16,-7.19,0.0,0.01,-0.01,4.0
-4.92,-4.15,-7.18,0.0,0.01,-0.01,4.0
-4.02,-5.67,-6.7,0.0,0.01,-0.01,4.0
-4.02,-5.69,-6.71,0.0,0.02,-0.01,4.0
4.72,4.91,-22.82,1.78,0.9,1.66,4.0
-4.62,-0.55,-8.27,0.05,0.15,-0.06,4.0
-3.91,-1.55,-8.65,0.01,0.02,-0.07,4.0
-7.0,0.27,-6.65,0.19,0.14,0.02,4.0
-0.14,7.57,-6.09,0.0,0.01,-0.01,4.0
-4.35,0.43,-8.14,0.04,0.0,-0.23,4.0
-3.78,1.27,-8.87,-0.82,0.11,0.04,4.0
-2.35,-6.86,-6.38,0.01,0.03,-0.03,4.0
-2.62,-2.85,-8.87,0.04,-0.1,-0.36,4.0
-4.55,-1.78,-8.32,-0.01,0.01,-0.01,4.0
-0.27,0.62,-9.58,0.05,0.52,-0.09,4.0
-2.47,-2.1,-9.08,-0.01,0.01,-0.01,4.0
-2.37,-2.7,-8.92,0.03,0.02,-0.01,4.0
-2.84,-3.2,-8.64,0.0,0.01,-0.01,4.0
-2.84,-3.03,-8.67,0.0,0.02,-0.01,4.0
-2.86,-3.01,-8.69,-0.01,0.02,-0.01,4.0
-2.85,-3.05,-8.69,0.0,0.01,-0.01,4.0
-2.87,-3.01,-8.66,0.0,0.02,-0.01,4.0
-2.86,-3.05,-8.67,-0.01,0.02,-0.01,4.0
-2.72,-2.47,-8.93,0.07,-0.05,0.0,4.0
-2.73,-2.54,-8.91,0.0,0.01,-0.01,4.0
